field.h.x,field.h.y,field.h.z,field.n.x,field.n.y,field.n.z,field.t.x,field.t.y,field.t.z,field.rs.x,field.rs.y,field.rs.z,field.re.x,field.re.y,field.re.z,field.rh.x,field.rh.y,field.rh.z,field.ls.x,field.ls.y,field.ls.z,field.le.x,field.le.y,field.le.z,field.lh.x,field.lh.y,field.lh.z
0.9502108649,0.2895987662,0.3363087045,1.0318122023,0.2753457395,0.1278323763,1.1186437217,0.2600150343,-0.0933018995,0.9378570827,0.4068039515,0.0818258702,0.9378559389,0.4068031276,-0.2295537074,0.9378547951,0.4068092616,-0.5409328883,1.125767322,0.1438875275,0.1738388824,1.3040138775,-0.0487769789,0.0736739363,1.1138066727,-0.1763905163,0.2643511334
1.0066457701,0.3057971547,0.3439658458,1.0755554888,0.2796398455,0.1322191938,1.1489452701,0.2515193876,-0.0923613218,1.0017936337,0.4241153436,0.0900246253,1.0017924899,0.4241145196,-0.2213549524,1.0017913461,0.4241206537,-0.5327340875,1.1493172829,0.1351643474,0.1744137623,1.3158897603,-0.0654937321,0.0646491048,1.1341857602,-0.1863636928,0.2704943691
1.0923905137,0.3114494471,0.3476014867,1.1429037606,0.2778116627,0.1317989788,1.1966866222,0.2415880596,-0.0970916607,1.0971143566,0.4348601395,0.0961856979,1.0971132128,0.4348593156,-0.2151938798,1.097112069,0.4348654496,-0.5265729997,1.1886931645,0.1207631706,0.1674122597,1.3364747324,-0.0905898937,0.0426049389,1.1664092991,-0.1996012758,0.2649150881
1.1947240852,0.2912718445,0.3479711364,1.2255278391,0.259255997,0.1282416532,1.2581706641,0.2247937145,-0.104875845,1.2040300664,0.4232243628,0.1009915338,1.2040289226,0.4232235389,-0.2103880439,1.2040277789,0.4232296729,-0.521767179,1.2470256118,0.0952876311,0.1554917878,1.3637071982,-0.1252885242,0.0198517718,1.2019067666,-0.2143917033,0.2585562541
1.3000640969,0.1762678827,0.378379685,1.3211221711,0.1870390782,0.1479962459,1.3383024728,0.1818616663,-0.0887464778,1.3037444661,0.3535755897,0.1430930047,1.2472205525,0.4838073767,-0.0889280127,1.0052838479,0.5855884705,-0.102920578,1.338499876,0.0205025477,0.1528994871,1.4036422993,-0.1675950944,-0.0108869918,1.2527217165,-0.2313196325,0.2439551153
1.4042841929,0.1349637459,0.3711826775,1.4117893105,0.1413420999,0.1423878196,1.4147538789,0.1445952541,-0.0954854671,1.4030341861,0.3089879417,0.1445712929,1.374887627,0.487245956,-0.0630794674,1.1501309841,0.5544762706,0.1231618215,1.4205444349,-0.0263037496,0.1402043463,1.4496350654,-0.2184686742,-0.0371763148,1.3134522571,-0.2632089816,0.2316152621
1.5005397503,0.1047125049,0.3584288144,1.4968467548,0.1088803151,0.1293319957,1.4878888378,0.1122049053,-0.1085047634,1.493945268,0.2768490545,0.1317890681,1.4869573917,0.4887026665,-0.0446048119,1.3755626847,0.4882989065,0.2394934977,1.4997482417,-0.059088409,0.1268749156,1.5072052491,-0.2606379574,-0.0479302876,1.3869064555,-0.2879250814,0.2332676717
1.5839555616,0.0823387879,0.3468776962,1.5736993378,0.0869591649,0.1193642222,1.5549557724,0.0918864032,-0.1179098941,1.5773232443,0.2549169266,0.1225656097,1.5611259346,0.4763743562,-0.0335575761,1.4847790737,0.4587781895,0.2650888149,1.5700754313,-0.0809986121,0.1161628348,1.5650344956,-0.2990423165,-0.0468946113,1.4704264667,-0.3063112492,0.245843842
1.6562534551,0.0670223191,0.3429781081,1.6371377425,0.0701962906,0.1162568496,1.6075350516,0.0747609097,-0.1199040524,1.6448855474,0.2380377803,0.1185296102,1.6241477835,0.467709335,-0.0094274517,1.58459229,0.4291165993,0.2974870994,1.6293899375,-0.097645199,0.1139840891,1.613875468,-0.3280916366,-0.0345141449,1.5453192808,-0.3163427734,0.266831604
1.7191694045,0.0550096451,0.3461770653,1.6909035489,0.0583873107,0.120616668,1.6524461226,0.064016728,-0.1142525145,1.7018973259,0.2260575057,0.1228351487,1.6798994622,0.4664861511,0.0143282181,1.6628994572,0.4131699571,0.3252176467,1.6799097719,-0.1092828918,0.1183981873,1.6478645399,-0.3492383929,-0.0065829878,1.6024711477,-0.3199263037,0.2995907935
1.774906355,0.0486623195,0.3431138112,1.7356552785,0.0523541309,0.1201796216,1.6875987369,0.0581374779,-0.1129189873,1.7496389209,0.2198138151,0.1214513064,1.727245616,0.4685786102,0.0394179108,1.7235714844,0.4007897478,0.3542697005,1.721671636,-0.115105561,0.1189079368,1.6763599321,-0.3686361764,0.0156624749,1.6408787329,-0.325470993,0.325211502
1.8204935275,0.0408883361,0.3392240258,1.7721246509,0.047003717,0.1181226563,1.716913931,0.0554338998,-0.113317296,1.78617263,0.2144396664,0.1208701099,1.76252522,0.4721984297,0.0601708826,1.7674172567,0.4071110453,0.3794280477,1.7580766719,-0.1204322324,0.1153752027,1.6970541263,-0.3799545513,0.0322014614,1.6664745382,-0.3324931768,0.3460028509
1.8535737356,0.0338166879,0.3342874419,1.7992798052,0.0434234029,0.1153283213,1.7385928805,0.0556874928,-0.1145665516,1.8149476655,0.2106682878,0.1201140838,1.7873189983,0.4731565896,0.0821454657,1.7989921575,0.4136638957,0.4055010824,1.7836119449,-0.1238214819,0.1105425588,1.7130214421,-0.3851130315,0.0353847981,1.6871699147,-0.3405604836,0.3553540017
1.8887873855,0.0305351114,0.3383369952,1.8252117111,0.0453320218,0.1230073795,1.7576822511,0.0613956356,-0.1047327594,1.8437119756,0.2122391332,0.1292942531,1.8120470046,0.4847819246,0.0880188567,1.8312927608,0.4355882697,0.4121936517,1.8067114466,-0.1215750897,0.1167205135,1.7267645516,-0.3796265308,0.0260309955,1.7049905441,-0.3604175653,0.3553164301
1.8931125407,0.0342602802,0.3311216778,1.8321608826,0.0503107613,0.1151234962,1.767269594,0.0691251439,-0.1131880482,1.8532169399,0.2168532428,0.1228628827,1.8306376786,0.4914673872,0.0881206637,1.8628777871,0.4507375861,0.4119057549,1.8111048253,-0.1162317202,0.1073841098,1.7342156369,-0.3700820088,0.0119965519,1.7141992949,-0.3685154014,0.3500993858
1.9054053495,0.0463291311,0.3328848468,1.84202584,0.0622316425,0.1180969479,1.7771776467,0.0796881686,-0.1103432742,1.8650248855,0.2285843958,0.1242799612,1.8421986106,0.4989433818,0.0675061269,1.878574795,0.4720955234,0.3963396572,1.8190267945,-0.1041211031,0.1119139345,1.7376398984,-0.3603748124,0.0067524521,1.7193469467,-0.3552289445,0.3488742997
1.9008229093,0.0624880765,0.3374149234,1.8413503958,0.0731257746,0.1210570333,1.7805367625,0.0853220463,-0.1088072147,1.8632625148,0.2397092672,0.1240983881,1.848510306,0.5093799894,0.0583061831,1.8750094566,0.4758189601,0.3916825658,1.8194382768,-0.0934577104,0.1180156786,1.7398352728,-0.3440373409,0.0067170742,1.7245563568,-0.3070706917,0.3467806527
1.8852525251,0.0814606221,0.3368663356,1.8322006755,0.0886756296,0.1196970053,1.7774352672,0.0972349377,-0.1118462658,1.8529720402,0.2554314279,0.1209482489,1.8431789353,0.5198068802,0.049159024,1.8654625248,0.485537736,0.3859329061,1.8114293108,-0.078080184,0.1184457617,1.7364796579,-0.3263714292,0.0178343579,1.7318135655,-0.2657291428,0.3566619737
1.8711956865,0.1053909446,0.3401245354,1.8225530209,0.1093969,0.1209315378,1.7711747082,0.1141787624,-0.1114930019,1.8397416146,0.2765552502,0.1205708408,1.8277695359,0.535619873,0.0383947068,1.8467967826,0.5036182949,0.3787650974,1.8053644273,-0.0577614426,0.1212922348,1.7355732268,-0.3089040253,0.0192156708,1.7271962757,-0.2380477023,0.3565021395
1.8615215487,0.127840578,0.3447344037,1.8136534311,0.1278297744,0.1247427582,1.7616362185,0.1282950603,-0.1075942547,1.8247175047,0.2954810678,0.1226012076,1.8084769895,0.5537157494,0.0385445351,1.820839719,0.5139261219,0.3802537182,1.8025893575,-0.0398215266,0.1268843089,1.7378403657,-0.2887255807,0.0195143838,1.7217032995,-0.2224170462,0.3567988516
1.8443178611,0.1510809018,0.3477420658,1.8001738624,0.1497399651,0.1258308128,1.7502202542,0.1481866505,-0.1069721501,1.8071584656,0.3176136632,0.123211822,1.7865528122,0.56972458,0.0259391468,1.789556732,0.5435360534,0.3690082886,1.7931892592,-0.0181337293,0.1284498036,1.7419891176,-0.2735812478,0.0205557885,1.7199725697,-0.2174113763,0.3572145684
1.8291649724,0.1664080556,0.3476440379,1.787103133,0.1641192048,0.1263981139,1.7388156669,0.1610229276,-0.1067427762,1.7904792141,0.3321037753,0.1234677427,1.7691848625,0.5853493941,0.0002376115,1.7250076306,0.6443483163,0.3289600944,1.7837270518,-0.0038653631,0.1293284852,1.7398831811,-0.2586892267,0.0078121897,1.683945005,-0.2770402012,0.33712562
